Rank,Team,Conference,Conference_Record,Conference_Record_Wins,Conference_Record_Losses,Overall_Record,Overall_Record_Wins,Overall_Record_Losses,SOS,NC_Rec,NC_Rec_Wins,NC_Rec_Losses,NC_RPI,NC_SOS,H,H_Wins,H_Losses,R,R_Wins,R_Losses,N,N_Wins,N_Losses,Q1,Q1_Wins,Q1_Losses,Q2,Q2_Wins,Q2_Losses,Q3,Q3_Wins,Q3_Losses,Q4,Q4_Wins,Q4_Losses
19,Georgia Tech,ACC,19-11,19,11,41-19,41,19,28,20-5,20,5,29,72,26-9,26,9,13-7,13,7,2-3,2,3,12-12,12,12,4-2,4,2,12-5,12,5,13-0,13,0
20,Oregon,Big Ten,22-8,22,8,42-16,42,16,40,19-5,19,5,11,12,28-10,28,10,13-5,13,5,1-1,1,1,9-1,9,1,3-2,3,2,22-8,22,8,8-5,8,5
21,Southern Miss,Sun Belt,24-6,24,6,47-16,47,16,61,17-7,17,7,19,21,28-7,28,7,15-7,15,7,4-2,4,2,8-5,8,5,7-4,7,4,12-2,12,2,20-5,20,5
22,Dallas Baptist,Conference USA,21-6,21,6,41-18,41,18,46,17-8,17,8,20,19,23-5,23,5,15-8,15,8,3-5,3,5,8-5,8,5,10-8,10,8,8-3,8,3,15-2,15,2
23,UC Irvine,Big West,24-6,24,6,43-17,43,17,54,15-7,15,7,16,20,16-7,16,7,20-6,20,6,7-4,7,4,7-7,7,7,8-3,8,3,13-1,13,1,15-6,15,6
24,Oklahoma,SEC,14-16,14,16,38-22,38,22,13,19-3,19,3,21,117,20-10,20,10,10-11,10,11,8-1,8,1,12-19,12,19,8-2,8,2,5-0,5,0,13-1,13,1
25,Arizona,Big 12,18-12,18,12,44-21,44,21,38,18-6,18,6,31,63,24-6,24,6,12-9,12,9,8-6,8,6,13-10,13,10,14-7,14,7,3-2,3,2,14-2,14,2
26,Northeastern,Coastal Athletic,25-2,25,2,49-11,49,11,158,20-7,20,7,37,134,23-1,23,1,19-7,19,7,7-3,7,3,2-5,2,5,6-2,6,2,21-2,21,2,20-2,20,2
27,Louisville,ACC,15-15,15,15,42-24,42,24,15,20-5,20,5,24,62,29-8,29,8,7-12,7,12,6-4,6,4,15-16,15,16,7-5,7,5,6-1,6,1,14-2,14,2
28,West Virginia,Big 12,19-9,19,9,44-16,44,16,78,21-4,21,4,30,176,17-7,17,7,24-7,24,7,3-2,3,2,7-8,7,8,12-5,12,5,14-3,14,3,11-0,11,0
29,Wake Forest,ACC,16-14,16,14,39-22,39,22,30,20-5,20,5,27,99,24-8,24,8,11-12,11,12,4-2,4,2,11-10,11,10,6-2,6,2,8-8,8,8,14-2,14,2
30,Kansas,Big 12,20-10,20,10,43-17,43,17,73,22-4,22,4,49,242,20-7,20,7,20-7,20,7,3-3,3,3,5-8,5,8,11-4,11,4,15-4,15,4,12-1,12,1
31,Cal Poly,Big West,23-7,23,7,43-19,43,19,68,14-9,14,9,48,46,19-7,19,7,19-9,19,9,5-3,5,3,5-13,5,13,4-2,4,2,14-3,14,3,20-1,20,1
32,Duke,ACC,17-13,17,13,41-21,41,21,34,19-5,19,5,51,107,30-11,30,11,8-9,8,9,3-1,3,1,6-11,6,11,10-3,10,3,10-6,10,6,15-1,15,1
33,Mississippi State,SEC,15-15,15,15,36-23,36,23,25,19-5,19,5,40,121,22-8,22,8,9-11,9,11,5-4,5,4,10-19,10,19,3-3,3,3,9-1,9,1,14-0,14,0
34,Miami (FL),ACC,15-14,15,14,35-27,35,27,8,16-9,16,9,63,53,22-9,22,9,9-17,9,17,4-1,4,1,11-13,11,13,11-10,11,10,2-3,2,3,11-1,11,1
35,North Carolina State,ACC,17-11,17,11,35-21,35,21,29,16-7,16,7,66,100,22-9,22,9,10-7,10,7,3-5,3,5,8-10,8,10,7-2,7,2,9-7,9,7,11-2,11,2
36,Kentucky,SEC,13-17,13,17,31-26,31,26,9,16-6,16,6,57,131,19-10,19,10,11-13,11,13,1-3,1,3,12-21,12,21,1-1,1,1,8-3,8,3,10-1,10,1
37,Cincinnati,Big 12,16-14,16,14,33-26,33,26,31,15-9,15,9,43,76,18-6,18,6,13-17,13,17,2-3,2,3,7-13,7,13,11-5,11,5,9-8,9,8,6-0,6,0
38,Creighton,Big East,17-4,17,4,43-16,43,16,129,21-10,21,10,58,137,17-6,17,6,20-10,20,10,6-0,6,0,3-2,3,2,11-4,11,4,12-8,12,8,17-2,17,2
39,USC,Big Ten,18-12,18,12,37-23,37,23,49,16-8,16,8,45,65,17-11,17,11,17-11,17,11,3-1,3,1,6-8,6,8,13-7,13,7,7-5,7,5,11-3,11,3
40,Kansas State,Big 12,17-13,17,13,32-26,32,26,33,14-10,14,10,36,23,18-3,18,3,7-19,7,19,7-4,7,4,3-18,3,18,8-4,8,4,11-4,11,4,10-0,10,0
41,Connecticut,Big East,17-4,17,4,38-21,38,21,83,19-15,19,15,64,55,17-3,17,3,17-13,17,13,4-5,4,5,6-10,6,10,6-5,6,5,9-6,9,6,17-0,17,0
42,Xavier,Big East,14-7,14,7,32-27,32,27,37,17-18,17,18,32,5,15-3,15,3,13-19,13,19,4-5,4,5,5-13,5,13,10-11,10,11,6-2,6,2,11-1,11,1
43,UTRGV,Southland,22-8,22,8,36-18,36,18,84,12-8,12,8,61,69,18-6,18,6,15-10,15,10,3-2,3,2,2-6,2,6,7-3,7,3,13-6,13,6,14-3,14,3
44,Western Kentucky,Conference USA,18-9,18,9,46-14,46,14,174,24-3,24,3,42,265,30-3,30,3,12-10,12,10,4-1,4,1,3-8,3,8,7-0,7,0,5-5,5,5,31-1,31,1
45,East Tennessee State,Southern,14-7,14,7,41-17,41,17,96,24-8,24,8,46,126,25-8,25,8,13-7,13,7,3-2,3,2,1-3,1,3,5-4,5,4,15-6,15,6,20-4,20,4
46,Oklahoma State,Big 12,15-12,15,12,30-25,30,25,18,12-10,12,10,83,27,18-6,18,6,6-12,6,12,6-7,6,7,6-15,6,15,10-2,10,2,5-5,5,5,9-3,9,3
47,Troy,Sun Belt,18-12,18,12,39-21,39,21,72,19-7,19,7,23,49,20-9,20,9,17-10,17,10,2-2,2,2,3-10,3,10,5-2,5,2,19-6,19,6,12-3,12,3
48,Notre Dame,ACC,14-16,14,16,32-21,32,21,52,18-4,18,4,53,223,14-10,14,10,16-10,16,10,2-1,2,1,7-11,7,11,5-5,5,5,12-3,12,3,8-2,8,2
49,Arizona State,Big 12,18-12,18,12,36-24,36,24,42,17-9,17,9,67,73,26-9,26,9,9-12,9,12,1-3,1,3,6-12,6,12,4-6,4,6,11-3,11,3,15-3,15,3
50,Texas A&M,SEC,11-19,11,19,30-26,30,26,12,17-6,17,6,94,178,21-13,21,13,6-10,6,10,3-3,3,3,9-17,9,17,3-4,3,4,5-0,5,0,13-5,13,5
51,Southeastern Louisiana,Southland,22-8,22,8,37-16,37,16,130,14-6,14,6,104,250,20-7,20,7,16-7,16,7,1-2,1,2,0-3,0,3,8-3,8,3,18-8,18,8,11-2,11,2
52,Stanford,ACC,11-19,11,19,27-25,27,25,16,16-5,16,5,41,91,16-15,16,15,11-9,11,9,0-1,0,1,5-7,5,7,12-12,12,12,4-4,4,4,6-2,6,2
53,Nebraska,Big Ten,15-15,15,15,33-29,33,29,39,13-12,13,12,68,37,14-10,14,10,11-14,11,14,8-5,8,5,8-12,8,12,4-7,4,7,11-8,11,8,10-2,10,2
54,Pittsburgh,ACC,10-20,10,20,28-27,28,27,32,17-6,17,6,55,183,12-10,12,10,9-15,9,15,7-2,7,2,5-16,5,16,6-8,6,8,6-1,6,1,11-2,11,2
55,East Carolina,American Athletic,13-14,13,14,35-27,35,27,45,16-11,16,11,52,17,16-13,16,13,12-12,12,12,7-2,7,2,4-10,4,10,4-6,4,6,12-7,12,7,15-4,15,4
56,Virginia Tech,ACC,12-18,12,18,31-25,31,25,36,18-6,18,6,95,235,17-14,17,14,11-10,11,10,3-1,3,1,10-17,10,17,5-2,5,2,6-3,6,3,10-3,10,3
57,Murray State,Missouri Valley,17-8,17,8,43-17,43,17,178,17-5,17,5,26,87,14-6,14,6,18-8,18,8,11-3,11,3,6-5,6,5,1-0,1,0,12-6,12,6,24-6,24,6
58,Kennesaw State,Conference USA,17-9,17,9,31-27,31,27,48,12-16,12,16,92,28,17-9,17,9,12-16,12,16,2-2,2,2,1-9,1,9,9-9,9,9,5-9,5,9,16-0,16,0
59,Hawaii,Big West,16-14,16,14,31-21,31,21,53,13-5,13,5,17,2,21-10,21,10,8-9,8,9,2-2,2,2,3-10,3,10,6-2,6,2,10-2,10,2,12-7,12,7
60,Jacksonville State,Conference USA,15-12,15,12,37-25,37,25,69,18-11,18,11,86,112,21-10,21,10,12-13,12,13,4-2,4,2,6-14,6,14,2-1,2,1,12-6,12,6,17-4,17,4
61,Lamar,Southland,20-10,20,10,40-17,40,17,184,20-5,20,5,85,290,27-2,27,2,13-13,13,13,0-2,0,2,1-7,1,7,4-5,4,5,8-1,8,1,27-4,27,4
62,BYU,Big 12,10-20,10,20,28-27,28,27,44,17-6,17,6,34,116,11-11,11,11,16-15,16,15,1-1,1,1,4-13,4,13,7-6,7,6,14-7,14,7,3-1,3,1
63,Columbia,Ivy League,16-5,16,5,30-19,30,19,151,10-12,10,12,54,26,12-1,12,1,15-17,15,17,3-1,3,1,2-11,2,11,0-0,0,0,12-6,12,6,16-2,16,2
64,Stetson,ASUN,24-6,24,6,41-22,41,22,119,13-13,13,13,87,35,20-8,20,8,14-11,14,11,7-3,7,3,2-5,2,5,3-6,3,6,12-9,12,9,24-2,24,2
65,FAU,American Athletic,15-12,15,12,37-21,37,21,98,21-7,21,7,44,104,25-8,25,8,10-11,10,11,2-2,2,2,3-6,3,6,7-5,7,5,5-7,5,7,22-3,22,3
66,Virginia,ACC,16-11,16,11,32-18,32,18,87,16-6,16,6,113,246,20-8,20,8,8-6,8,6,4-4,4,4,5-6,5,6,5-7,5,7,8-4,8,4,14-1,14,1
67,Charlotte,American Athletic,18-9,18,9,36-22,36,22,89,17-11,17,11,79,92,23-9,23,9,11-11,11,11,2-2,2,2,1-6,1,6,7-6,7,6,13-6,13,6,15-4,15,4
68,Indiana,Big Ten,16-14,16,14,32-24,32,24,71,15-9,15,9,78,122,14-8,14,8,11-11,11,11,7-5,7,5,1-3,1,3,7-14,7,14,6-3,6,3,18-4,18,4
69,Boston College,ACC,11-19,11,19,28-29,28,29,41,15-9,15,9,91,191,12-11,12,11,13-16,13,16,3-2,3,2,4-12,4,12,10-10,10,10,4-5,4,5,10-2,10,2
70,Michigan,Big Ten,16-14,16,14,33-23,33,23,77,17-7,17,7,82,202,15-10,15,10,12-7,12,7,6-6,6,6,2-9,2,9,5-3,5,3,13-9,13,9,13-2,13,2
71,Mercer,Southern,12-9,12,9,35-25,35,25,62,21-14,21,14,77,56,21-15,21,15,12-8,12,8,2-2,2,2,2-4,2,4,3-6,3,6,13-6,13,6,17-9,17,9
72,UC Santa Barbara,Big West,16-14,16,14,36-18,36,18,149,20-3,20,3,28,161,20-8,20,8,14-9,14,9,2-1,2,1,2-5,2,5,5-4,5,4,6-6,6,6,23-3,23,3
73,Fairfield,MAAC,21-8,21,8,39-19,39,19,195,15-9,15,9,60,143,14-6,14,6,22-12,22,12,3-1,3,1,0-2,0,2,0-3,0,3,17-8,17,8,22-6,22,6
74,UCF,Big 12,9-21,9,21,29-26,29,26,47,20-5,20,5,25,94,19-13,19,13,10-13,10,13,0-0,0,0,4-9,4,9,9-9,9,9,4-7,4,7,12-1,12,1
75,South Carolina,SEC,6-24,6,24,28-29,28,29,23,22-4,22,4,39,166,23-12,23,12,4-14,4,14,1-3,1,3,6-29,6,29,1-0,1,0,3-0,3,0,18-0,18,0
76,UNCW,Coastal Athletic,19-8,19,8,34-24,34,24,82,13-14,13,14,76,7,18-12,18,12,13-10,13,10,3-2,3,2,3-10,3,10,3-2,3,2,12-7,12,7,16-5,16,5
77,Rhode Island,Atlantic 10,22-8,22,8,38-22,38,22,168,13-12,13,12,105,172,15-6,15,6,20-14,20,14,3-2,3,2,1-5,1,5,2-2,2,2,10-7,10,7,25-8,25,8
78,Washington,Big Ten,17-13,17,13,28-27,28,27,51,11-12,11,12,145,153,14-7,14,7,11-14,11,14,3-6,3,6,4-14,4,14,4-3,4,3,8-4,8,4,12-6,12,6
79,Baylor,Big 12,13-17,13,17,33-22,33,22,81,20-4,20,4,59,213,22-11,22,11,10-8,10,8,1-3,1,3,5-7,5,7,8-10,8,10,4-2,4,2,16-3,16,3
80,Iowa,Big Ten,21-9,21,9,31-22-1,31,22,99,9-11-1,9,11,191,193,14-7,14,7,14-7,14,7,3-8-1,3,8,0-6-1,0,6,11-7-0,11,7,8-3-0,8,3,12-6-0,12,6
81,South Florida,American Athletic,16-11,16,11,31-25,31,25,67,13-12,13,12,106,57,16-13,16,13,13-10,13,10,2-2,2,2,1-5,1,5,3-4,3,4,17-13,17,13,10-3,10,3
82,Miami (OH),Mid-American,23-7,23,7,35-23,35,23,140,9-14,9,14,129,81,16-6,16,6,16-15,16,15,3-2,3,2,2-6,2,6,5-5,5,5,9-7,9,7,19-5,19,5
83,Northwestern State,Southland,19-11,19,11,31-21,31,21,132,10-8,10,8,171,283,16-5,16,5,13-14,13,14,2-2,2,2,1-6,1,6,6-5,6,5,10-8,10,8,14-2,14,2
84,McNeese,Southland,19-11,19,11,29-16,29,16,135,10-3,10,3,125,288,19-6,19,6,10-8,10,8,0-2,0,2,3-4,3,4,3-5,3,5,6-3,6,3,17-4,17,4
85,Penn State,Big Ten,15-15,15,15,33-23,33,23,102,16-7,16,7,110,240,14-12,14,12,15-8,15,8,4-3,4,3,1-3,1,3,12-9,12,9,8-3,8,3,12-8,12,8
86,Rutgers,Big Ten,15-15,15,15,29-28,29,28,66,13-12,13,12,69,58,16-9,16,9,12-18,12,18,1-1,1,1,5-9,5,9,3-7,3,7,10-8,10,8,11-4,11,4
87,Saint Mary's College,West Coast,15-9,15,9,36-26,36,26,124,16-14,16,14,56,30,14-9,14,9,18-14,18,14,4-3,4,3,2-9,2,9,3-0,3,0,9-8,9,8,22-9,22,9
88,Wright State,Horizon League,25-5,25,5,40-21,40,21,221,9-13,9,13,72,13,17-3,17,3,14-16,14,16,9-2,9,2,2-12,2,12,4-1,4,1,5-3,5,3,29-5,29,5
89,Samford,Southern,13-8,13,8,30-27,30,27,65,15-17,15,17,161,103,18-11,18,11,10-13,10,13,2-3,2,3,1-11,1,11,6-7,6,7,8-6,8,6,15-3,15,3
90,Austin Peay,ASUN,26-4,26,4,45-14,45,14,266,17-8,17,8,93,194,26-4,26,4,16-6,16,6,3-4,3,4,0-2,0,2,2-1,2,1,6-6,6,6,37-5,37,5
91,South Carolina Upstate,Big South,19-5,19,5,36-25,36,25,115,14-18,14,18,135,48,18-12,18,12,14-10,14,10,4-3,4,3,1-3,1,3,5-13,5,13,8-2,8,2,22-7,22,7
92,Houston Christian,Southland,17-13,17,13,32-25,32,25,121,10-10,10,10,194,262,16-7,16,7,11-17,11,17,5-1,5,1,2-6,2,6,3-9,3,9,14-7,14,7,13-3,13,3
93,Texas Tech,Big 12,13-17,13,17,20-33,20,33,6,7-15,7,15,141,8,12-13,12,13,7-16,7,16,1-4,1,4,6-18,6,18,5-10,5,10,5-4,5,4,4-1,4,1
94,High Point,Big South,18-6,18,6,39-19,39,19,197,20-11,20,11,97,164,24-7,24,7,14-8,14,8,1-4,1,4,0-2,0,2,3-4,3,4,7-7,7,7,29-6,29,6
95,Houston,Big 12,12-17,12,17,30-25,30,25,92,17-7,17,7,107,253,15-13,15,13,14-10,14,10,1-2,1,2,6-10,6,10,7-7,7,7,5-5,5,5,12-3,12,3
96,Liberty,Conference USA,10-17,10,17,30-27,30,27,74,20-8,20,8,38,83,20-11,20,11,10-14,10,14,0-2,0,2,5-8,5,8,5-10,5,10,6-4,6,4,14-5,14,5
97,California,ACC,9-21,9,21,24-31,24,31,35,13-9,13,9,157,208,12-18,12,18,10-12,10,12,2-1,2,1,8-16,8,16,1-3,1,3,7-8,7,8,8-4,8,4
98,Marshall,Sun Belt,16-14,16,14,33-26,33,26,123,15-10,15,10,136,238,20-7,20,7,10-17,10,17,3-2,3,2,6-15,6,15,1-3,1,3,6-2,6,2,20-6,20,6
99,Charleston,Coastal Athletic,15-12,15,12,37-22,37,22,131,19-8,19,8,73,108,24-13,24,13,10-6,10,6,3-3,3,3,2-4,2,4,1-5,1,5,9-4,9,4,25-9,25,9
100,Rider,MAAC,22-6,22,6,34-18,34,18,234,10-10,10,10,142,206,14-6,14,6,18-10,18,10,2-2,2,2,0-0,0,0,2-6,2,6,13-4,13,4,19-8,19,8
101,The Citadel,Southern,12-9,12,9,31-26,31,26,85,18-15,18,15,128,119,21-13,21,13,9-11,9,11,1-2,1,2,0-2,0,2,4-9,4,9,11-8,11,8,16-7,16,7
102,Tennessee Tech,Ohio Valley,18-9,18,9,37-20,37,20,198,19-10,19,10,89,145,23-9,23,9,14-10,14,10,0-1,0,1,0-2,0,2,1-4,1,4,13-5,13,5,23-9,23,9
103,Fresno State,Mountain West,18-12,18,12,31-29,31,29,97,10-15,10,15,139,43,18-10,18,10,10-18,10,18,3-1,3,1,0-6,0,6,1-6,1,6,10-12,10,12,20-5,20,5
104,Kent State,Mid-American,23-7,23,7,34-18,34,18,233,10-9,10,9,183,254,19-3,19,3,12-11,12,11,3-4,3,4,1-1,1,1,3-8,3,8,10-5,10,5,20-4,20,4
105,Tulane,American Athletic,13-14,13,14,33-25,33,25,107,17-10,17,10,132,201,21-13,21,13,9-11,9,11,3-1,3,1,6-4,6,4,3-6,3,6,6-8,6,8,18-7,18,7
106,George Mason,Atlantic 10,20-10,20,10,40-21,40,21,232,16-9,16,9,143,275,20-6,20,6,14-13,14,13,6-2,6,2,1-5,1,5,0-1,0,1,9-8,9,8,30-7,30,7
107,Saint John's,Big East,13-8,13,8,29-24,29,24,125,16-14,16,14,108,136,18-7,18,7,11-15,11,15,0-2,0,2,1-9,1,9,4-7,4,7,3-4,3,4,21-4,21,4
108,Grand Canyon,Western Athletic,13-11,13,11,31-27,31,27,110,17-14,17,14,65,38,18-9,18,9,11-14,11,14,2-4,2,4,5-7,5,7,3-1,3,1,12-8,12,8,11-11,11,11
109,Minnesota,Big Ten,10-20,10,20,24-28,24,28,55,14-8,14,8,47,39,10-17,10,17,13-9,13,9,1-2,1,2,5-6,5,6,4-8,4,8,8-8,8,8,7-6,7,6
110,Old Dominion,Sun Belt,15-15,15,15,22-31,22,31,63,6-14,6,14,149,79,6-10,6,10,15-16,15,16,1-5,1,5,2-14,2,14,4-5,4,5,11-6,11,6,5-6,5,6
111,Louisiana Tech,Conference USA,14-12,14,12,32-25,32,25,117,17-11,17,11,127,192,22-10,22,10,9-13,9,13,1-2,1,2,3-11,3,11,0-2,0,2,10-6,10,6,19-6,19,6
112,Cal State Fullerton,Big West,19-11,19,11,29-27,29,27,100,10-14,10,14,172,111,13-15,13,15,16-9,16,9,0-3,0,3,2-10,2,10,3-4,3,4,12-9,12,9,12-4,12,4
113,Texas State,Sun Belt,14-16,14,16,27-31,27,31,60,12-13,12,13,99,36,16-14,16,14,9-15,9,15,2-2,2,2,5-12,5,12,2-1,2,1,6-12,6,12,14-6,14,6
114,New Orleans,Southland,12-18,12,18,27-26,27,26,101,12-6,12,6,81,198,15-9,15,9,9-15,9,15,3-2,3,2,0-2,0,2,2-9,2,9,15-11,15,11,10-4,10,4
115,Illinois,Big Ten,14-16,14,16,29-24,29,24,136,14-7,14,7,137,271,14-6,14,6,10-11,10,11,5-7,5,7,0-5,0,5,6-8,6,8,8-8,8,8,15-3,15,3
116,Oral Roberts,The Summit League,21-9,21,9,37-22,37,22,212,13-11,13,11,80,42,20-9,20,9,14-11,14,11,3-2,3,2,4-7,4,7,0-1,0,1,6-9,6,9,27-5,27,5
117,Ball State,Mid-American,21-9,21,9,36-22,36,22,231,14-11,14,11,126,227,15-6,15,6,18-12,18,12,3-4,3,4,0-3,0,3,0-3,0,3,15-9,15,9,21-7,21,7
118,Wofford,Southern,8-13,8,13,33-27,33,27,139,23-12,23,12,98,211,21-7,21,7,9-17,9,17,3-3,3,3,3-4,3,4,3-8,3,8,8-12,8,12,19-3,19,3
119,Western Carolina,Southern,10-11,10,11,30-28,30,28,113,18-15,18,15,151,189,19-8,19,8,8-18,8,18,3-2,3,2,0-6,0,6,4-5,4,5,7-10,7,10,19-7,19,7
120,Purdue,Big Ten,11-19,11,19,31-23,31,23,137,20-4,20,4,88,281,14-12,14,12,6-10,6,10,11-1,11,1,0-3,0,3,7-10,7,10,5-6,5,6,19-4,19,4
121,FGCU,ASUN,16-14,16,14,31-29,31,29,103,10-14,10,14,102,10,18-11,18,11,8-16,8,16,5-2,5,2,0-5,0,5,2-7,2,7,8-9,8,9,21-8,21,8
122,FIU,Conference USA,13-13,13,13,31-27,31,27,108,17-12,17,12,147,174,23-9,23,9,7-15,7,15,1-3,1,3,1-8,1,8,5-7,5,7,7-7,7,7,18-5,18,5
123,Saint Thomas,The Summit League,21-9,21,9,29-21,29,21,227,8-12,8,12,119,114,13-4,13,4,16-17,16,17,0-0,0,0,0-2,0,2,3-8,3,8,9-5,9,5,17-6,17,6
124,Southern Illinois,Missouri Valley,16-11,16,11,37-20,37,20,230,21-7,21,7,62,187,23-8,23,8,14-10,14,10,0-2,0,2,2-5,2,5,2-2,2,2,6-2,6,2,27-11,27,11
125,Utah,Big 12,8-22,8,22,21-29,21,29,80,13-7,13,7,123,300,6-10,6,10,13-19,13,19,2-0,2,0,3-9,3,9,3-14,3,14,8-4,8,4,7-2,7,2
126,Eastern Illinois,Ohio Valley,17-7,17,7,29-22,29,22,226,10-13,10,13,163,225,11-3,11,3,16-17,16,17,2-2,2,2,0-0,0,0,1-5,1,5,9-10,9,10,19-7,19,7
127,Maryland,Big Ten,12-18,12,18,27-29,27,29,104,15-11,15,11,146,236,10-13,10,13,13-14,13,14,4-2,4,2,3-5,3,5,9-13,9,13,4-5,4,5,11-6,11,6
128,Campbell,Coastal Athletic,15-12,15,12,25-31,25,31,59,9-17,9,17,150,9,15-15,15,15,9-14,9,14,1-2,1,2,0-5,0,5,7-8,7,8,8-11,8,11,10-7,10,7
129,Quinnipiac,MAAC,17-13,17,13,29-26,29,26,163,9-11,9,11,96,89,13-6,13,6,13-16,13,16,3-4,3,4,0-3,0,3,4-6,4,6,5-6,5,6,20-11,20,11
130,San Diego,West Coast,19-5,19,5,28-30,28,30,95,6-23,6,23,210,11,16-12,16,12,9-16,9,16,3-2,3,2,1-14,1,14,3-2,3,2,9-11,9,11,15-3,15,3
131,Northwestern,Big Ten,13-17,13,17,25-27,25,27,118,12-10,12,10,130,221,10-10,10,10,12-16,12,16,3-1,3,1,3-7,3,7,3-5,3,5,9-11,9,11,10-4,10,4
132,North Dakota State,The Summit League,13-15,13,15,21-34,21,34,75,4-16,4,16,70,1,7-5,7,5,10-27,10,27,4-2,4,2,3-13,3,13,4-6,4,6,3-6,3,6,11-9,11,9
133,Louisiana,Sun Belt,16-14,16,14,27-31,27,31,70,10-15,10,15,138,16,18-15,18,15,8-14,8,14,1-2,1,2,1-10,1,10,3-6,3,6,12-7,12,7,11-8,11,8
134,Toledo,Mid-American,17-13,17,13,32-29,32,29,171,11-14,11,14,140,133,15-8,15,8,13-19,13,19,4-2,4,2,1-4,1,4,4-13,4,13,7-5,7,5,20-7,20,7
135,Bryant,America East,18-6,18,6,35-19-1,35,19,267,14-11-1,14,11,155,261,15-6-1,15,6,17-11,17,11,3-2,3,2,0-0-0,0,0,2-3-0,2,3,11-5-0,11,5,22-11-1,22,11
